#boundary segments

337.338 223.654
394.669 223.654

337.338 444.616
337.338 444.616

-1789.63 223.654
0 223.654

337.338 223.654
337.338 223.654

191.442 304.986
191.442 304.986
189.931 304.993
189.252 305
188.693 305.009
188.186 305.018
187.708 305.029
187.244 305.04
186.787 305.052
186.332 305.066
185.873 305.081
185.409 305.098
184.937 305.116
184.454 305.136
183.958 305.158
183.449 305.182
182.924 305.209
182.381 305.238
181.819 305.27
181.237 305.306
180.633 305.345
180.005 305.388
179.352 305.435
178.672 305.487
177.964 305.544
177.225 305.607
176.455 305.676
175.651 305.752
174.812 305.836
173.935 305.928
173.018 306.029
172.06 306.141
171.058 306.263
170.009 306.398
168.913 306.546
167.765 306.709
166.563 306.888
165.305 307.086
163.988 307.303
162.608 307.541
161.163 307.804
159.649 308.093
158.063 308.411
156.401 308.76
154.66 309.144
152.835 309.567
150.922 310.033
148.918 310.544
146.817 311.107
145.581 311.451

337.338 223.654
337.338 223.654

0 223.654
0 223.654

99.7206 304.986
99.7206 304.986

-1789.63 223.654
-1789.67 223.685
-1789.71 223.719
-1789.76 223.757
-1789.82 223.798
-1789.87 223.844
-1789.94 223.894
-1790.01 223.949
-1790.09 224.009
-1790.17 224.076
-1790.26 224.149
-1790.37 224.23
-1790.48 224.319
-1790.61 224.416
-1790.74 224.524
-1790.89 224.642
-1791.06 224.771
-1791.24 224.914
-1791.44 225.071
-1791.66 225.244
-1791.91 225.434
-1792.17 225.643
-1792.47 225.873
-1792.79 226.126
-1793.15 226.404
-1793.54 226.71
-1793.97 227.046
-1794.44 227.416
-1794.96 227.823
-1795.53 228.27
-1796.16 228.762
-1796.86 229.303
-1797.62 229.898
-1798.46 230.552
-1799.38 231.271
-1800.4 232.062
-1801.51 232.932
-1802.74 233.888
-1804.09 234.939
-1805.58 236.094
-1807.21 237.364
-1809.01 238.76
-1810.98 240.295
-1813.16 241.981
-1815.55 243.834
-1818.18 245.87
-1821.08 248.106
-1824.26 250.564
-1825.42 251.457

0 386.318
0 386.318
-1657.13 386.318

81.3319 304.986
99.7206 304.986

58.2981 444.616
0 502.914

99.7206 386.318
99.7206 444.616
101.225 444.606
101.901 444.595
102.458 444.584
102.961 444.571
103.438 444.557
103.899 444.541
104.354 444.524
104.808 444.505
105.264 444.484
105.726 444.461
106.197 444.436
106.677 444.408
107.17 444.378
107.677 444.344
108.2 444.307
108.74 444.267
109.3 444.222
109.879 444.173
110.481 444.119
111.106 444.06
111.756 443.995
112.432 443.923
113.137 443.844
113.872 443.757
114.639 443.661
115.44 443.556
116.275 443.441
117.148 443.313
118.061 443.173
119.015 443.019
120.012 442.85
121.056 442.664
122.148 442.459
123.29 442.234
124.486 441.986
125.739 441.713
127.05 441.413
128.423 441.083
129.862 440.72
131.369 440.321
132.948 439.881
134.602 439.398
136.335 438.867
138.152 438.282
140.056 437.639
142.051 436.932
144.143 436.154
145.581 435.597

191.442 444.616
189.938 444.606
189.262 444.595
188.705 444.584
188.201 444.571
187.725 444.557
187.263 444.541
186.809 444.524
186.355 444.505
185.899 444.484
185.436 444.461
184.966 444.436
184.486 444.408
183.993 444.378
183.485 444.344
182.963 444.307
182.422 444.267
181.863 444.222
181.284 444.173
180.682 444.119
180.057 444.06
